俱乐部id	俱乐部名称	俱乐部按钮图标	俱乐部动画标志	俱乐部等级	玩家等级段	单人赛出场卡牌	多人赛队长1号位	多人赛2号位	多人赛3号位	4积分宝箱	组数1	8积分宝箱	组数2	12积分宝箱	组数3	宝石孔位	洗练属性	俱乐部权重	俱乐部出现位置	俱乐部星级	包含关卡id	个人赛1星时间	个人赛2星时间	个人赛3星时间	团队赛1星时间	团队赛2星时间	团队赛3星时间	产出卡牌
306001	天河	iconClubLY.png	iconClubXX.png	60	60:64;	31002012:6000;21202012:300;21303012:300;12002012:300;21302012:300;21102012:300;22103012:300;12102012:300;51005012:950;31008012:950;	21202012:1400;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1600;	51005112:10000;	21202012:1400;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1600;	30011050;30011050;30012000;30015010;30015010;30013045;30017025;	1:6850;2:2000;3:700;4:450;	30021050;30021050;30022000;30025010;30025010;30023045;30027025;	1:2000;2:4000;3:3500;4:500;	30031050;30031050;30032000;30035010;30035010;30033045;30037025;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2004	6000000	60000	30000	6000000	60000	30000	31099;21099;
306002	天药	iconClubWC.png	iconClubXX.png	60	60:64;	21202012:200;21303012:200;12002012:200;21302012:200;21102012:200;22103012:200;12102012:200;51006012:5000;32104012:3600;	21202012:1400;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1600;	51006112:10000;	32104012:10000;	30011050;30011050;30012000;30015010;30015010;30013045;30017025;30216010;	1:6850;2:2000;3:700;4:450;	30021050;30021050;30022000;30025010;30025010;30023045;30027025;30226010;	1:2000;2:4000;3:3500;4:500;	30031050;30031050;30032000;30035010;30035010;30033045;30037025;30236010;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2003	6000000	60000	30000	6000000	60000	30000	51006;31099;21099;
306003	荣星	iconClubXX.png	iconClubXX.png	60	60:64;	43102012:1400;44003012:1400;24004012:1400;11007012:1400;12003012:1400;22004012:1000;42006012:1000;41103012:500;32005012:500;	22004012:10000;	44003012:10000;	43102012:10000;	30011050;30011050;30012000;30015010;30015010;30013045;30017025;30316010;	1:6850;2:2000;3:700;4:450;	30021050;30021050;30022000;30025010;30025010;30023045;30027025;30326010;	1:2000;2:4000;3:3500;4:500;	30031050;30031050;30032000;30035010;30035010;30033045;30037025;30336010;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2019	6000000	60000	30000	6000000	60000	30000	44003;43102;42006;31099;21099;
306004	醉花	team_06.png	iconClubXX.png	60	60:64;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	30011050;30011050;30012000;30015010;30015010;30013045;30017025;	1:6850;2:2000;3:700;4:450;	30021050;30021050;30022000;30025010;30025010;30023045;30027025;	1:2000;2:4000;3:3500;4:500;	30031050;30031050;30032000;30035010;30035010;30033045;30037025;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2005	6000000	60000	30000	6000000	60000	30000	31099;21099;
306005	兵王	iconClubBT.png	iconClubXX.png	60	60:64;	53002012:6000;52205012:1000;32202012:3000;	53002112:10000;	52205012:400;32202012:500;21202012:1300;21303012:1300;12002012:1300;21302012:1300;21102012:1300;22103012:1300;12102012:1300;	21202012:1400;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1600;	30011050;30011050;30012000;30015010;30015010;30013045;30017025;	1:6850;2:2000;3:700;4:450;	30021050;30021050;30022000;30025010;30025010;30023045;30027025;	1:2000;2:4000;3:3500;4:500;	30031050;30031050;30032000;30035010;30035010;30033045;30037025;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2001	6000000	60000	30000	6000000	60000	30000	31099;21099;
306006	凛冽	team_04.png	iconClubXX.png	60	60:64;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	43202012:10000;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	30011050;30011050;30012000;30015010;30015010;30013045;30017025;30616010;	1:6850;2:2000;3:700;4:450;	30021050;30021050;30022000;30025010;30025010;30023045;30027025;30626010;	1:2000;2:4000;3:3500;4:500;	30031050;30031050;30032000;30035010;30035010;30033045;30037025;30636010;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2009	6000000	60000	30000	6000000	60000	30000	43202;31099;21099;
306007	往生	iconClubLH.png	iconClubXX.png	60	60:64;	21202012:500;21303012:500;12002012:500;21302012:500;21102012:500;22103012:500;12102012:500;54002012:6500;	54002112:10000;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	30011050;30011050;30012000;30015010;30015010;30013045;30017025;	1:6850;2:2000;3:700;4:450;	30021050;30021050;30022000;30025010;30025010;30023045;30027025;	1:2000;2:4000;3:3500;4:500;	30031050;30031050;30032000;30035010;30035010;30033045;30037025;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2002	6000000	60000	30000	6000000	60000	30000	31099;21099;
206001	斩魄	team_08.png	iconClubXX.png	60	60:64;	21202012:1300;21303012:1300;12002012:1300;21302012:1300;21102012:1300;22103012:1300;12102012:1300;41103012:900;	41103112:10000;	21202012:1400;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1600;	21202012:1400;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1600;	20011050;20011050;20012000;20015010;20015010;30017025;20116010;	1:7870;2:1500;3:400;4:230;	20021050;20021050;20022000;20025010;20025010;20023045;30027025;20126010;	1:4680;2:3500;3:1500;4:320;	20031050;20031050;20032000;20035010;20035010;20033045;30037025;20136010;	1:2600;2:4500;3:2000;4:900;	4	4	500	1:2:3:4:5;	2	2010	6000000	60000	30000	6000000	60000	30000	41103;21099;11099;
206002	虚无	team_02.png	iconClubXX.png	60	60:64;	21202012:1400;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;42203012:200;	41203112:10000;	21202012:1400;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;42203012:200;	21202012:1400;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;42203012:200;	20011050;20011050;20012000;20015010;20015010;20017025;20216010;	1:7870;2:1500;3:400;4:230;	20021050;20021050;20022000;20025010;20025010;20023045;20027025;20226010;	1:4680;2:3500;3:1500;4:320;	20031050;20031050;20032000;20035010;20035010;20033045;20037025;20236010;	1:2600;2:4500;3:2000;4:900;	4	4	500	1:2:3:4:5;	2	2006	6000000	60000	30000	6000000	60000	30000	41203;21099;11099;
206003	马刺	team_07.png	iconClubXX.png	60	60:64;	21202012:1400;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;54102012:200;	21202012:1400;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;52302112:200;	21202012:1400;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;54102012:200;	21202012:1400;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;54102012:200;	20011050;20011050;20012000;20015010;20015010;20017025;	1:7870;2:1500;3:400;4:230;	20021050;20021050;20022000;20025010;20025010;20023045;20027025;	1:4680;2:3500;3:1500;4:320;	20031050;20031050;20032000;20035010;20035010;20033045;20037025;	1:2600;2:4500;3:2000;4:900;	4	4	500	1:2:3:4:5;	2	2008	6000000	60000	30000	6000000	60000	30000	21099;11099;
106001	传奇	team_11.png	iconClubXX.png	60	60:64;	21202012:1400;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;41306112:200;	41306112:10000;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	10011050;10011050;10012000;10015010;10015010;20017025;	1:9340;2:500;3:100;4:60;	10021050;10021050;10022000;10025010;10025010;20027025;	1:7750;2:1500;3:500;4:250;	10031050;10031050;10032000;10035010;10035010;10033045;20037025;	1:5910;2:2500;3:1000;4:590;	4	4	500	1:2:3:4:5;	1	2017	6000000	60000	30000	6000000	60000	30000	11099;
106002	无极	team_14.png	iconClubXX.png	60	60:64;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	32005112:10000;	31304012:10000;	21202012:1400;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1600;	10011050;10011050;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021050;10021050;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031050;10031050;10032000;10035010;10035010;10033045;10037025;	1:5910;2:2500;3:1000;4:590;	4	4	500	1:2:3:4:5;	1	2022	6000000	60000	30000	6000000	60000	30000	11099;
106003	穿天	team_10.png	iconClubXX.png	60	60:64;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	10011050;10011050;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021050;10021050;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031050;10031050;10032000;10035010;10035010;10033045;10037025;	1:5910;2:2500;3:1000;4:590;	4	4	500	1:2:3:4:5;	1	2015	6000000	60000	30000	6000000	60000	30000	11099;
106004	雄华	team_16.png	iconClubXX.png	60	60:64;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	10011050;10011050;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021050;10021050;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031050;10031050;10032000;10035010;10035010;10033045;10037025;	1:5910;2:2500;3:1000;4:590;	4	4	500	1:2:3:4:5;	1	2011	6000000	60000	30000	6000000	60000	30000	11099;
106005	倾贺	team_09.png	iconClubXX.png	60	60:64;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	10011050;10011050;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021050;10021050;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031050;10031050;10032000;10035010;10035010;10033045;10037025;	1:5910;2:2500;3:1000;4:590;	4	4	500	1:2:3:4:5;	1	2012	6000000	60000	30000	6000000	60000	30000	11099;
106006	重律	team_21.png	iconClubXX.png	60	60:64;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	10011050;10011050;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021050;10021050;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031050;10031050;10032000;10035010;10035010;10033045;10037025;	1:5910;2:2500;3:1000;4:590;	4	4	500	1:2:3:4:5;	1	2014	6000000	60000	30000	6000000	60000	30000	11099;
106007	诛仙	team_17.png	iconClubXX.png	60	60:64;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	10011050;10011050;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021050;10021050;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031050;10031050;10032000;10035010;10035010;10033045;10037025;	1:5910;2:2500;3:1000;4:590;	4	4	500	1:2:3:4:5;	1	2020	6000000	60000	30000	6000000	60000	30000	11099;
106008	夕火	team_12.png	iconClubXX.png	60	60:64;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	10011050;10011050;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021050;10021050;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031050;10031050;10032000;10035010;10035010;10033045;10037025;	1:5910;2:2500;3:1000;4:590;	4	4	500	1:2:3:4:5;	1	2021	6000000	60000	30000	6000000	60000	30000	11099;
106009	时光	team_20.png	iconClubXX.png	60	60:64;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	10011050;10011050;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021050;10021050;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031050;10031050;10032000;10035010;10035010;10033045;10037025;	1:5910;2:2500;3:1000;4:590;	4	4	500	1:2:3:4:5;	1	2023	6000000	60000	30000	6000000	60000	30000	11099;
106010	玄奇	team_18.png	iconClubXX.png	60	60:64;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	21202012:1600;21303012:1400;12002012:1400;21302012:1400;21102012:1400;22103012:1400;12102012:1400;	10011050;10011050;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021050;10021050;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031050;10031050;10032000;10035010;10035010;10033045;10037025;	1:5910;2:2500;3:1000;4:590;	4	4	500	1:2:3:4:5;	1	2024	6000000	60000	30000	6000000	60000	30000	11099;
306501	天河	iconClubLY.png	iconClubXX.png	65	65:69;	31002013:6000;21202013:300;21303013:300;12002013:300;21302013:300;21102013:300;22103013:300;12102013:300;51005013:950;31008013:950;	21202013:1400;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1600;	51005113:10000;	21202013:1400;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1600;	30011050;30011050;30012000;30015010;30015010;30013050;30017025;	1:6850;2:2000;3:700;4:450;	30021050;30021050;30022000;30025010;30025010;30023050;30027025;	1:2000;2:4000;3:3500;4:500;	30031050;30031050;30032000;30035010;30035010;30033050;30037025;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2004	6000000	60000	30000	6000000	60000	30000	31099;21099;
306502	天药	iconClubWC.png	iconClubXX.png	65	65:69;	21202013:200;21303013:200;12002013:200;21302013:200;21102013:200;22103013:200;12102013:200;51006013:5000;32104013:3600;	21202013:1400;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1600;	51006113:10000;	32104013:10000;	30011050;30011050;30012000;30015010;30015010;30013050;30017025;30216010;	1:6850;2:2000;3:700;4:450;	30021050;30021050;30022000;30025010;30025010;30023050;30027025;30226010;	1:2000;2:4000;3:3500;4:500;	30031050;30031050;30032000;30035010;30035010;30033050;30037025;30236010;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2003	6000000	60000	30000	6000000	60000	30000	51006;31099;21099;
306503	荣星	iconClubXX.png	iconClubXX.png	65	65:69;	43102013:1400;44003013:1400;24004013:1400;11007013:1400;12003013:1400;22004013:1000;42006013:1000;41103013:500;32005013:500;	22004013:10000;	44003013:10000;	43102013:10000;	30011050;30011050;30012000;30015010;30015010;30013050;30017025;30316010;	1:6850;2:2000;3:700;4:450;	30021050;30021050;30022000;30025010;30025010;30023050;30027025;30326010;	1:2000;2:4000;3:3500;4:500;	30031050;30031050;30032000;30035010;30035010;30033050;30037025;30336010;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2019	6000000	60000	30000	6000000	60000	30000	44003;43102;42006;31099;21099;
306504	醉花	team_06.png	iconClubXX.png	65	65:69;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	30011050;30011050;30012000;30015010;30015010;30013050;30017025;	1:6850;2:2000;3:700;4:450;	30021050;30021050;30022000;30025010;30025010;30023050;30027025;	1:2000;2:4000;3:3500;4:500;	30031050;30031050;30032000;30035010;30035010;30033050;30037025;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2005	6000000	60000	30000	6000000	60000	30000	31099;21099;
306505	兵王	iconClubBT.png	iconClubXX.png	65	65:69;	53002013:6000;52205013:1000;32202013:3000;	53002113:10000;	52205013:400;32202013:500;21202013:1300;21303013:1300;12002013:1300;21302013:1300;21102013:1300;22103013:1300;12102013:1300;	21202013:1400;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1600;	30011050;30011050;30012000;30015010;30015010;30013050;30017025;	1:6850;2:2000;3:700;4:450;	30021050;30021050;30022000;30025010;30025010;30023050;30027025;	1:2000;2:4000;3:3500;4:500;	30031050;30031050;30032000;30035010;30035010;30033050;30037025;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2001	6000000	60000	30000	6000000	60000	30000	31099;21099;
306506	凛冽	team_04.png	iconClubXX.png	65	65:69;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	43202013:10000;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	30011050;30011050;30012000;30015010;30015010;30013050;30017025;30616010;	1:6850;2:2000;3:700;4:450;	30021050;30021050;30022000;30025010;30025010;30023050;30027025;30626010;	1:2000;2:4000;3:3500;4:500;	30031050;30031050;30032000;30035010;30035010;30033050;30037025;30636010;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2009	6000000	60000	30000	6000000	60000	30000	43202;31099;21099;
306507	往生	iconClubLH.png	iconClubXX.png	65	65:69;	21202013:500;21303013:500;12002013:500;21302013:500;21102013:500;22103013:500;12102013:500;54002013:6500;	54002113:10000;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	30011050;30011050;30012000;30015010;30015010;30013050;30017025;	1:6850;2:2000;3:700;4:450;	30021050;30021050;30022000;30025010;30025010;30023050;30027025;	1:2000;2:4000;3:3500;4:500;	30031050;30031050;30032000;30035010;30035010;30033050;30037025;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2002	6000000	60000	30000	6000000	60000	30000	31099;21099;
206501	斩魄	team_08.png	iconClubXX.png	65	65:69;	21202013:1300;21303013:1300;12002013:1300;21302013:1300;21102013:1300;22103013:1300;12102013:1300;41103013:900;	41103113:10000;	21202013:1400;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1600;	21202013:1400;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1600;	20011050;20011050;20012000;20015010;20015010;30017025;20116010;	1:7870;2:1500;3:400;4:230;	20021050;20021050;20022000;20025010;20025010;20023050;30027025;20126010;	1:4680;2:3500;3:1500;4:320;	20031050;20031050;20032000;20035010;20035010;20033050;30037025;20136010;	1:2600;2:4500;3:2000;4:900;	4	4	500	1:2:3:4:5;	2	2010	6000000	60000	30000	6000000	60000	30000	41103;21099;11099;
206502	虚无	team_02.png	iconClubXX.png	65	65:69;	21202013:1400;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;42203013:200;	41203113:10000;	21202013:1400;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;42203013:200;	21202013:1400;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;42203013:200;	20011050;20011050;20012000;20015010;20015010;20017025;20216010;	1:7870;2:1500;3:400;4:230;	20021050;20021050;20022000;20025010;20025010;20023050;20027025;20226010;	1:4680;2:3500;3:1500;4:320;	20031050;20031050;20032000;20035010;20035010;20033050;20037025;20236010;	1:2600;2:4500;3:2000;4:900;	4	4	500	1:2:3:4:5;	2	2006	6000000	60000	30000	6000000	60000	30000	41203;21099;11099;
206503	马刺	team_07.png	iconClubXX.png	65	65:69;	21202013:1400;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;54102013:200;	21202013:1400;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;52302113:200;	21202013:1400;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;54102013:200;	21202013:1400;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;54102013:200;	20011050;20011050;20012000;20015010;20015010;20017025;	1:7870;2:1500;3:400;4:230;	20021050;20021050;20022000;20025010;20025010;20023050;20027025;	1:4680;2:3500;3:1500;4:320;	20031050;20031050;20032000;20035010;20035010;20033050;20037025;	1:2600;2:4500;3:2000;4:900;	4	4	500	1:2:3:4:5;	2	2008	6000000	60000	30000	6000000	60000	30000	21099;11099;
106501	传奇	team_11.png	iconClubXX.png	65	65:69;	21202013:1400;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;41306113:200;	41306113:10000;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	10011050;10011050;10012000;10015010;10015010;20017025;	1:9340;2:500;3:100;4:60;	10021050;10021050;10022000;10025010;10025010;20027025;	1:7750;2:1500;3:500;4:250;	10031050;10031050;10032000;10035010;10035010;10033050;20037025;	1:5910;2:2500;3:1000;4:590;	4	4	500	1:2:3:4:5;	1	2017	6000000	60000	30000	6000000	60000	30000	11099;
106502	无极	team_14.png	iconClubXX.png	65	65:69;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	32005113:10000;	31304013:10000;	21202013:1400;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1600;	10011050;10011050;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021050;10021050;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031050;10031050;10032000;10035010;10035010;10033050;10037025;	1:5910;2:2500;3:1000;4:590;	4	4	500	1:2:3:4:5;	1	2022	6000000	60000	30000	6000000	60000	30000	11099;
106503	穿天	team_10.png	iconClubXX.png	65	65:69;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	10011050;10011050;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021050;10021050;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031050;10031050;10032000;10035010;10035010;10033050;10037025;	1:5910;2:2500;3:1000;4:590;	4	4	500	1:2:3:4:5;	1	2015	6000000	60000	30000	6000000	60000	30000	11099;
106504	雄华	team_16.png	iconClubXX.png	65	65:69;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	21202013:1600;21303013:1400;12002013:1400;21302013:1400;21102013:1400;22103013:1400;12102013:1400;	10011050;10011050;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021050;10021050;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031050;10031050;10032000;10035010;10035010;10033050;10037025;	1:5910;2:2500;3:1000;4:590;	4	4	500	1:2:3:4:5;	1	2011	6000000	60000	30000	6000000	60000	30000	11099;
